aedes-aegypti-3.2	AAEL007626-PA	BGBP	1.9e-153
aedes-aegypti-3.2	AAEL003889-PA	BGBP	6.2e-146
aedes-aegypti-3.2	AAEL000652-PA	BGBP	3.4e-145
aedes-aegypti-3.2	AAEL009178-PA	BGBP	8.5e-144
aedes-aegypti-3.2	AAEL009176-PA	BGBP	1.1e-142
aedes-aegypti-3.2	AAEL003894-PA	BGBP	1.1e-138
aedes-aegypti-3.2	AAEL007064-PA	BGBP	1.5e-129
aedes-aegypti-3.2	AAEL002595-PA	CLIPA	1.3e-130
aedes-aegypti-3.2	AAEL001675-PA	CLIPA	1.4e-126
aedes-aegypti-3.2	AAEL002629-PA	CLIPA	1.2e-123
aedes-aegypti-3.2	AAEL002600-PA	CLIPA	2.5e-121
aedes-aegypti-3.2	AAEL002624-PA	CLIPA	2.3e-115
aedes-aegypti-3.2	AAEL002610-PA	CLIPA	4.6e-114
aedes-aegypti-3.2	AAEL002585-PA	CLIPA	9.7e-112
aedes-aegypti-3.2	AAEL002593-PA	CLIPA	1e-109
aedes-aegypti-3.2	AAEL002593-PB	CLIPA	1e-109
aedes-aegypti-3.2	AAEL003642-PA	CLIPA	3.7e-108
aedes-aegypti-3.2	AAEL007006-PA	CLIPA	1.1e-102
aedes-aegypti-3.2	AAEL002288-PB	CLIPA	1.7e-102
aedes-aegypti-3.2	AAEL002301-PA	CLIPA	5.9e-102
aedes-aegypti-3.2	AAEL002288-PA	CLIPA	1e-100
aedes-aegypti-3.2	AAEL002590-PA	CLIPA	3.7e-100
aedes-aegypti-3.2	AAEL005718-PA	CLIPA	3.3e-98
aedes-aegypti-3.2	AAEL003520-PA	CLIPA	4.6e-97
aedes-aegypti-3.2	AAEL002601-PA	CLIPA	1.4e-95
aedes-aegypti-3.2	AAEL002126-PA	CLIPA	1.1e-93
aedes-aegypti-3.2	AAEL018109-PA	CLIPA	3.2e-92
aedes-aegypti-3.2	AAEL008404-PA	CLIPA	4.2e-92
aedes-aegypti-3.2	AAEL018185-PA	CLIPA	1.4e-88
aedes-aegypti-3.2	AAEL012842-PA	CLIPA	5.6e-88
aedes-aegypti-3.2	AAEL014163-PA	CLIPA	4.6e-83
aedes-aegypti-3.2	AAEL018347-PA	CLIPA	1.3e-82
aedes-aegypti-3.2	AAEL007347-PA	CLIPA	1.4e-82
aedes-aegypti-3.2	AAEL003233-PA	CLIPA	6.9e-82
aedes-aegypti-3.2	AAEL003276-PB	CLIPA	3.6e-81
aedes-aegypti-3.2	AAEL003276-PA	CLIPA	1.3e-80
aedes-aegypti-3.2	AAEL002254-PA	CLIPA	3e-79
aedes-aegypti-3.2	AAEL015533-PA	CLIPA	1.7e-75
aedes-aegypti-3.2	AAEL009210-PA	CLIPA	2.3e-75
aedes-aegypti-3.2	AAEL000238-PA	CLIPA	3.3e-75
aedes-aegypti-3.2	AAEL015527-PA	CLIPA	3.8e-75
aedes-aegypti-3.2	AAEL010203-PA	CLIPA	1.1e-71
aedes-aegypti-3.2	AAEL001084-PA	CLIPA	4.1e-69
aedes-aegypti-3.2	AAEL005906-PA	CLIPA	1.2e-67
aedes-aegypti-3.2	AAEL004979-PA	CLIPA	1.9e-67
