#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GMOY011181-PA        -          BGBP                 -           6.6e-102  341.0   0.1    8e-102  340.7   0.1   1.0   1   0   0   1   1   1   1 gram negative binding protein 1-like protein|protein_coding|scf7180000652160:4105800-4111997:-1|gene:GMOY011181
GMOY010453-PA        -          BGBP                 -            1.4e-89  300.4   1.1   2.4e-89  299.7   1.1   1.3   1   0   0   1   1   1   1 hypothetical protein|protein_coding|scf7180000652144:50193-57279:-1|gene:GMOY010453
GMOY011180-PA        -          BGBP                 -            4.3e-41  140.7   0.2   5.1e-22   77.9   0.1   3.0   1   1   1   2   2   2   2 hypothetical protein|protein_coding|scf7180000652160:4069328-4070299:-1|gene:GMOY011180
GMOY009418-PA        -          CLIPA                -                  0 1410.3   0.0   2.3e-49  167.4   0.0  12.3   5   4   7  12  12  12  12 Serine protease 13|protein_coding|scf7180000651845:117703-167211:1|gene:GMOY009418
GMOY002729-PA        -          CLIPA                -                  0 1035.6  12.7  8.6e-115  382.3   0.3   4.0   3   1   1   4   4   4   4 Serine protease 1|protein_coding|scf7180000644323:1563-22747:-1|gene:GMOY002729
GMOY007343-PA        -          CLIPA                -             1e-278  920.5  18.6   2.7e-39  134.3   0.0   8.0   7   1   0   8   8   8   8 hypothetical protein|protein_coding|scf7180000650303:234272-269971:-1|gene:GMOY007343
GMOY007649-PA        -          CLIPA                -           1.2e-181  601.8  25.0     5e-39  133.5   0.5   5.1   3   1   2   5   5   5   5 Serine protease 15|protein_coding|scf7180000650582:2078-15048:1|gene:GMOY007649
GMOY005899-PA        -          CLIPA                -           4.7e-149  494.8  38.2     4e-45  153.5   0.1   6.4   4   1   1   6   6   6   6 Serine protease 3|protein_coding|scf7180000648788:10630-51320:-1|gene:GMOY005899
GMOY006838-PA        -          CLIPA                -           1.3e-121  404.6   9.6   2.4e-42  144.3   0.4   3.1   3   0   0   3   3   3   3 trypsin-like serine protease precursor|protein_coding|scf7180000649348:1662-7323:-1|gene:GMOY006838
GMOY010410-PA        -          CLIPA                -           4.2e-121  403.0   0.6  6.4e-121  402.4   0.3   1.4   2   0   0   2   2   1   1 hypothetical protein|protein_coding|scf7180000652140:192351-214911:-1|gene:GMOY010410
GMOY008962-PA        -          CLIPA                -           4.3e-115  383.2   0.1   1.7e-40  138.3   0.0   3.1   1   1   0   3   3   3   3 hypothetical protein|protein_coding|scf7180000651717:24872-42679:1|gene:GMOY008962
GMOY002680-PA        -          CLIPA                -           4.5e-109  363.5   0.5     9e-35  119.5   0.0   5.3   3   2   2   5   5   5   5 hypothetical protein|protein_coding|scf7180000644232:44761-62073:-1|gene:GMOY002680
GMOY003741-PA        -          CLIPA                -           3.4e-107  357.3   8.7     7e-57  192.1   0.6   2.9   2   1   0   2   2   2   2 hypothetical protein|protein_coding|scf7180000647035:62850-67289:1|gene:GMOY003741
GMOY005761-PA        -          CLIPA                -           3.8e-106  353.9   0.3  4.2e-106  353.7   0.3   1.0   1   0   0   1   1   1   1 hypothetical protein|protein_coding|scf7180000648743:26338-32312:1|gene:GMOY005761
GMOY007265-PA        -          CLIPA                -           3.7e-102  340.8   0.0  4.1e-102  340.6   0.0   1.0   1   0   0   1   1   1   1 hypothetical protein|protein_coding|scf7180000650269:24119-25402:-1|gene:GMOY007265
GMOY002008-PA        -          CLIPA                -           4.9e-102  340.4   0.6   4.1e-54  183.0   0.0   2.1   1   1   1   2   2   2   2 hypothetical protein|protein_coding|scf7180000642602:118001-124211:1|gene:GMOY002008
GMOY007283-PA        -          CLIPA                -            2.1e-99  331.7  14.9   7.8e-40  136.1   2.0   4.1   2   1   2   4   4   4   4 hypothetical protein|protein_coding|scf7180000650279:36089-40597:-1|gene:GMOY007283
