#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
CPIJ003613-PA        -          BGBP                 -           1.9e-144  481.7   0.8  2.3e-144  481.4   0.8   1.0   1   0   0   1   1   1   1 beta-1,3-glucan-binding protein precursor|protein_coding|supercont3.50:923703-925004:1|gene:CPIJ003613
CPIJ004320-PA        -          BGBP                 -           2.2e-142  474.9   0.3  2.7e-142  474.6   0.3   1.0   1   0   0   1   1   1   1 gram-negative bacteria-binding protein 1 precursor|protein_coding|supercont3.65:1026333-1027629:-1|gene:CPIJ004320
CPIJ004324-PA        -          BGBP                 -           4.2e-142  474.0   0.6  4.9e-142  473.8   0.6   1.0   1   0   0   1   1   1   1 gram-negative bacteria binding protein |protein_coding|supercont3.65:1046763-1048121:1|gene:CPIJ004324
CPIJ004321-PA        -          BGBP                 -           1.4e-140  469.0   0.3  1.6e-140  468.7   0.3   1.0   1   0   0   1   1   1   1 gram-negative bacteria binding protein |protein_coding|supercont3.65:1028405-1029633:-1|gene:CPIJ004321
CPIJ003612-PA        -          BGBP                 -             2e-140  468.5   0.3  2.3e-140  468.2   0.3   1.0   1   0   0   1   1   1   1 gram-negative bacteria binding protein|protein_coding|supercont3.50:921674-922997:1|gene:CPIJ003612
CPIJ008997-PA        -          BGBP                 -           3.5e-140  467.6   0.0  4.3e-140  467.3   0.0   1.0   1   0   0   1   1   1   1 conserved hypothetical protein|protein_coding|supercont3.212:621689-636298:-1|gene:CPIJ008997
CPIJ004323-PA        -          BGBP                 -           2.5e-137  458.3   0.4  2.9e-137  458.0   0.4   1.0   1   0   0   1   1   1   1 gram-negative bacteria binding protein |protein_coding|supercont3.65:1045057-1046339:1|gene:CPIJ004323
CPIJ004231-PA        -          BGBP                 -           5.4e-128  427.5   1.5  6.4e-128  427.3   1.5   1.0   1   0   0   1   1   1   1 gram-negative bacteria binding protein |protein_coding|supercont3.63:341816-343109:1|gene:CPIJ004231
CPIJ004325-PA        -          BGBP                 -           1.6e-119  399.6   0.1  9.9e-118  393.7   0.1   2.0   1   1   0   1   1   1   1 gram-negative bacteria binding protein |protein_coding|supercont3.65:1048370-1049712:1|gene:CPIJ004325
CPIJ004229-PA        -          BGBP                 -           9.6e-101  337.8   5.5   9.6e-53  179.7   0.0   2.0   1   1   1   2   2   2   2 gram negative bacteria binding protein 2|protein_coding|supercont3.63:336865-338088:1|gene:CPIJ004229
CPIJ013556-PA        -          BGBP                 -            8.3e-75  252.4   0.0     1e-74  252.1   0.0   1.0   1   0   0   1   1   1   1 beta-1,3-glucan-binding protein precursor|protein_coding|supercont3.506:145341-146951:1|gene:CPIJ013556
