#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
XP_0051876131        -          BGBP                 -             1e-103  347.4   0.1  1.3e-103  347.1   0.1   1.0   1   0   0   1   1   1   1 PREDICTED: gram-negative bacteria-binding protein 1-like [Musca domestica]
XP_0051797911        -          BGBP                 -             4e-102  342.2   0.2  4.8e-102  341.9   0.2   1.0   1   0   0   1   1   1   1 PREDICTED: gram-negative bacteria-binding protein 3-like [Musca domestica]
XP_0051876121        -          BGBP                 -            9.8e-89  298.1   4.7   6.7e-69  232.8   0.7   2.0   1   1   1   2   2   2   2 PREDICTED: gram-negative bacteria-binding protein 2-like [Musca domestica]
XP_0051826491        -          CLIPA                -           7.9e-124  412.4   0.3    1e-123  412.1   0.3   1.2   1   0   0   1   1   1   1 PREDICTED: uncharacterized protein LOC101887504 [Musca domestica]
XP_0051780461        -          CLIPA                -           1.7e-121  404.8   0.1    2e-121  404.5   0.1   1.0   1   0   0   1   1   1   1 PREDICTED: serine proteinase stubble-like [Musca domestica]
XP_0051766841        -          CLIPA                -             9e-121  402.4   0.2    1e-120  402.2   0.2   1.0   1   0   0   1   1   1   1 PREDICTED: serine proteinase stubble-like [Musca domestica]
XP_0051789211        -          CLIPA                -           3.8e-112  374.1   3.6   1.3e-60  204.9   1.2   2.2   2   0   0   2   2   2   2 PREDICTED: uncharacterized protein LOC101890818 [Musca domestica]
XP_0051781521        -          CLIPA                -           4.7e-106  354.1   1.1  5.3e-106  353.9   1.1   1.1   1   0   0   1   1   1   1 PREDICTED: plasma kallikrein-like [Musca domestica]
XP_0051834281        -          CLIPA                -            2.3e-91  305.8   2.7   3.6e-45  154.1   0.2   2.1   2   0   0   2   2   2   2 PREDICTED: uncharacterized protein LOC101900085 [Musca domestica]
XP_0051857671        -          CLIPA                -            2.8e-91  305.5  22.7   1.8e-90  302.9  22.7   2.4   1   1   0   1   1   1   1 PREDICTED: flocculation protein FLO11-like [Musca domestica]
XP_0051765431        -          CLIPA                -            3.4e-76  256.0   1.7   3.8e-76  255.8   1.7   1.1   1   0   0   1   1   1   1 PREDICTED: serine proteinase stubble-like [Musca domestica]
XP_0051865181        -          CLIPA                -              6e-70  235.5   0.1   6.8e-70  235.3   0.1   1.1   1   0   0   1   1   1   1 PREDICTED: serine proteinase stubble-like [Musca domestica]
XP_0051861411        -          CLIPA                -            1.9e-69  233.9   0.0   2.3e-69  233.6   0.0   1.0   1   0   0   1   1   1   1 PREDICTED: transmembrane protease serine 3-like [Musca domestica]
XP_0051861391        -          CLIPA                -              2e-69  233.7   0.0   2.7e-69  233.4   0.0   1.0   1   0   0   1   1   1   1 PREDICTED: plasminogen-like [Musca domestica]
XP_0051921571        -          CLIPA                -            8.9e-69  231.6   0.0   1.1e-68  231.4   0.0   1.0   1   0   0   1   1   1   1 PREDICTED: serine protease 44-like [Musca domestica]
